source,item_type,title_or_text,author,extra_1_label,extra_1_value,extra_2_label,extra_2_value,url
quotes.toscrape.com,quote,"""The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.""",Albert Einstein,tags,"change, deep-thoughts, thinking, world",tag_count,4,https://quotes.toscrape.com/author/Albert-Einstein
quotes.toscrape.com,quote,"""It is our choices, Harry, that show what we truly are, far more than our abilities.""",J.K. Rowling,tags,"abilities, choices",tag_count,2,https://quotes.toscrape.com/author/J-K-Rowling
quotes.toscrape.com,quote,"""There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is ...",Albert Einstein,tags,"inspirational, life, live, miracle, miracles",tag_count,5,https://quotes.toscrape.com/author/Albert-Einstein
quotes.toscrape.com,quote,"""The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.""",Jane Austen,tags,"aliteracy, books, classic, humor",tag_count,4,https://quotes.toscrape.com/author/Jane-Austen
quotes.toscrape.com,quote,"""Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.""",Marilyn Monroe,tags,"be-yourself, inspirational",tag_count,2,https://quotes.toscrape.com/author/Marilyn-Monroe
quotes.toscrape.com,quote,"""Try not to become a man of success. Rather become a man of value.""",Albert Einstein,tags,"adulthood, success, value",tag_count,3,https://quotes.toscrape.com/author/Albert-Einstein
quotes.toscrape.com,quote,"""It is better to be hated for what you are than to be loved for what you are not.""",André Gide,tags,"life, love",tag_count,2,https://quotes.toscrape.com/author/Andre-Gide
quotes.toscrape.com,quote,"""I have not failed. I've just found 10,000 ways that won't work.""",Thomas A. Edison,tags,"edison, failure, inspirational, paraphrased",tag_count,4,https://quotes.toscrape.com/author/Thomas-A-Edison
quotes.toscrape.com,quote,"""A woman is like a tea bag; you never know how strong it is until it's in hot water.""",Eleanor Roosevelt,tags,misattributed-eleanor-roosevelt,tag_count,1,https://quotes.toscrape.com/author/Eleanor-Roosevelt
quotes.toscrape.com,quote,"""A day without sunshine is like, you know, night.""",Steve Martin,tags,"humor, obvious, simile",tag_count,3,https://quotes.toscrape.com/author/Steve-Martin
quotes.toscrape.com,quote,"""This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good ...",Marilyn Monroe,tags,"friends, heartbreak, inspirational, life, love, sisters",tag_count,6,https://quotes.toscrape.com/author/Marilyn-Monroe
quotes.toscrape.com,quote,"""It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.""",J.K. Rowling,tags,"courage, friends",tag_count,2,https://quotes.toscrape.com/author/J-K-Rowling
quotes.toscrape.com,quote,"""If you can't explain it to a six year old, you don't understand it yourself.""",Albert Einstein,tags,"simplicity, understand",tag_count,2,https://quotes.toscrape.com/author/Albert-Einstein
quotes.toscrape.com,quote,"""You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what el...",Bob Marley,tags,love,tag_count,1,https://quotes.toscrape.com/author/Bob-Marley
quotes.toscrape.com,quote,"""I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.""",Dr. Seuss,tags,fantasy,tag_count,1,https://quotes.toscrape.com/author/Dr-Seuss
quotes.toscrape.com,quote,"""I may not have gone where I intended to go, but I think I have ended up where I needed to be.""",Douglas Adams,tags,"life, navigation",tag_count,2,https://quotes.toscrape.com/author/Douglas-Adams
quotes.toscrape.com,quote,"""The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposi...",Elie Wiesel,tags,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy",tag_count,8,https://quotes.toscrape.com/author/Elie-Wiesel
quotes.toscrape.com,quote,"""It is not a lack of love, but a lack of friendship that makes unhappy marriages.""",Friedrich Nietzsche,tags,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage",tag_count,6,https://quotes.toscrape.com/author/Friedrich-Nietzsche
quotes.toscrape.com,quote,"""Good friends, good books, and a sleepy conscience: this is the ideal life.""",Mark Twain,tags,"books, contentment, friends, friendship, life",tag_count,5,https://quotes.toscrape.com/author/Mark-Twain
quotes.toscrape.com,quote,"""Life is what happens to us while we are making other plans.""",Allen Saunders,tags,"fate, life, misattributed-john-lennon, planning, plans",tag_count,5,https://quotes.toscrape.com/author/Allen-Saunders
quotes.toscrape.com,quote,"""I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in thi...",Pablo Neruda,tags,"love, poetry",tag_count,2,https://quotes.toscrape.com/author/Pablo-Neruda
quotes.toscrape.com,quote,"""For every minute you are angry you lose sixty seconds of happiness.""",Ralph Waldo Emerson,tags,happiness,tag_count,1,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson
quotes.toscrape.com,quote,"""If you judge people, you have no time to love them.""",Mother Teresa,tags,attributed-no-source,tag_count,1,https://quotes.toscrape.com/author/Mother-Teresa
quotes.toscrape.com,quote,"""Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a ca...",Garrison Keillor,tags,"humor, religion",tag_count,2,https://quotes.toscrape.com/author/Garrison-Keillor
